Epoch [1/1000], Step [1/4], Loss: 3.4680, Accuracy: 40.07%, F1 Score: 0.20
Epoch [2/1000], Step [1/4], Loss: 1.6372, Accuracy: 36.45%, F1 Score: 0.24
Epoch [3/1000], Step [1/4], Loss: 1.1717, Accuracy: 45.79%, F1 Score: 0.46
Epoch [4/1000], Step [1/4], Loss: 1.1199, Accuracy: 48.25%, F1 Score: 0.44
Epoch [5/1000], Step [1/4], Loss: 1.0494, Accuracy: 52.22%, F1 Score: 0.45
Epoch [6/1000], Step [1/4], Loss: 0.9342, Accuracy: 56.31%, F1 Score: 0.55
Epoch [7/1000], Step [1/4], Loss: 0.8432, Accuracy: 60.40%, F1 Score: 0.59
Epoch [8/1000], Step [1/4], Loss: 0.7944, Accuracy: 64.60%, F1 Score: 0.64
Epoch [9/1000], Step [1/4], Loss: 0.7342, Accuracy: 67.64%, F1 Score: 0.67
Epoch [10/1000], Step [1/4], Loss: 0.6710, Accuracy: 73.01%, F1 Score: 0.72
Epoch [11/1000], Step [1/4], Loss: 0.5877, Accuracy: 77.10%, F1 Score: 0.76
Epoch [12/1000], Step [1/4], Loss: 0.5331, Accuracy: 79.32%, F1 Score: 0.79
Epoch [13/1000], Step [1/4], Loss: 0.4841, Accuracy: 84.46%, F1 Score: 0.81
Epoch [14/1000], Step [1/4], Loss: 0.4203, Accuracy: 87.38%, F1 Score: 0.85
Epoch [15/1000], Step [1/4], Loss: 0.3892, Accuracy: 87.73%, F1 Score: 0.86
Epoch [16/1000], Step [1/4], Loss: 0.3553, Accuracy: 88.90%, F1 Score: 0.88
Epoch [17/1000], Step [1/4], Loss: 0.3438, Accuracy: 90.42%, F1 Score: 0.88
Epoch [18/1000], Step [1/4], Loss: 0.3393, Accuracy: 91.94%, F1 Score: 0.88
Epoch [19/1000], Step [1/4], Loss: 0.3270, Accuracy: 91.82%, F1 Score: 0.88
Epoch [20/1000], Step [1/4], Loss: 0.3052, Accuracy: 93.57%, F1 Score: 0.90
Epoch [21/1000], Step [1/4], Loss: 0.3043, Accuracy: 93.34%, F1 Score: 0.90
Epoch [22/1000], Step [1/4], Loss: 0.3083, Accuracy: 94.16%, F1 Score: 0.89
Epoch [23/1000], Step [1/4], Loss: 0.3093, Accuracy: 94.74%, F1 Score: 0.90
Epoch [24/1000], Step [1/4], Loss: 0.2875, Accuracy: 93.57%, F1 Score: 0.90
Epoch [25/1000], Step [1/4], Loss: 0.2943, Accuracy: 95.33%, F1 Score: 0.90
Epoch [26/1000], Step [1/4], Loss: 0.2942, Accuracy: 95.33%, F1 Score: 0.90
Epoch [27/1000], Step [1/4], Loss: 0.2929, Accuracy: 97.43%, F1 Score: 0.90
Epoch [28/1000], Step [1/4], Loss: 0.3257, Accuracy: 97.66%, F1 Score: 0.91
Epoch [29/1000], Step [1/4], Loss: 0.3380, Accuracy: 98.36%, F1 Score: 0.91
Epoch [30/1000], Step [1/4], Loss: 0.2969, Accuracy: 96.85%, F1 Score: 0.91
Epoch [31/1000], Step [1/4], Loss: 0.3612, Accuracy: 97.66%, F1 Score: 0.89
Epoch [32/1000], Step [1/4], Loss: 0.3167, Accuracy: 98.36%, F1 Score: 0.91
Epoch [33/1000], Step [1/4], Loss: 0.3242, Accuracy: 98.36%, F1 Score: 0.90
Epoch [34/1000], Step [1/4], Loss: 0.2756, Accuracy: 98.83%, F1 Score: 0.92
Epoch [35/1000], Step [1/4], Loss: 0.3082, Accuracy: 98.71%, F1 Score: 0.91
Epoch [36/1000], Step [1/4], Loss: 0.2907, Accuracy: 99.65%, F1 Score: 0.92
Epoch [37/1000], Step [1/4], Loss: 0.3212, Accuracy: 98.95%, F1 Score: 0.92
Epoch [38/1000], Step [1/4], Loss: 0.2972, Accuracy: 99.65%, F1 Score: 0.91
Epoch [39/1000], Step [1/4], Loss: 0.3074, Accuracy: 99.88%, F1 Score: 0.91
Epoch [40/1000], Step [1/4], Loss: 0.3125, Accuracy: 99.53%, F1 Score: 0.91
Epoch [41/1000], Step [1/4], Loss: 0.3001, Accuracy: 99.65%, F1 Score: 0.92
Epoch [42/1000], Step [1/4], Loss: 0.3217, Accuracy: 100.00%, F1 Score: 0.92
Epoch [43/1000], Step [1/4], Loss: 0.3026, Accuracy: 100.00%, F1 Score: 0.92
Epoch [44/1000], Step [1/4], Loss: 0.3212, Accuracy: 99.65%, F1 Score: 0.91

----------------------------------------
Early stopping at epoch 43
Best epoch:  33
Best loss:  0.2756492793560028  Best test F1 score:  0.9137949586408568  Best test accuracy:  0.914
